SNP	eGene	CHR	POS	SNP_PHENOTYPE	END	First_Level	PHENOTYPE	Metabolism	Locus	Locus name	Entrez Gene Name	Location	Type(s)	Most associated metabolite or ratio	Biochemical locus-metabolite relationship [PMID]	Predicted causal gene	eQTL (gene and tissue)	Complex trait association [PMID]	Metabolite association [PMID]	Inborn error metabolism	Gene/protein classification (DT=drug target, ME=metabolic enzyme, TP=transporter)	ChEMBL ID	Drug information	In development PharmaProjects (preclinical, Phase I to III, pre-registration, registration)	Failed PharmaProjects (Suspended, withdrawn, no development)	split_eQTLs	causal_eGene	split	Overlap
rs2734331	HLA-DQB2	6	32723875	X-11470	32731311	Unknown		False	51	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae)	Nucleus	enzyme	X-11470	X-11470 is a GGM neighbor of cortisol [23093944].	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs2734331	NEU1	6	31826829	X-11470	31830683	Metabolism, Cellular Processes	Carbohydrate metabolism	True	51	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae)	Nucleus	enzyme	X-11470	X-11470 is a GGM neighbor of cortisol [23093944].	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs2734331	LY6G5C	6	31644461	X-11470	31651817	Unknown		False	51	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae)	Nucleus	enzyme	X-11470	X-11470 is a GGM neighbor of cortisol [23093944].	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs2734331	HLA-DQB1	6	32627244	X-11470	32636160	Environmental Information Processing, Cellular Processes, Organismal Systems, Human Diseases		False	51	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae)	Nucleus	enzyme	X-11470	X-11470 is a GGM neighbor of cortisol [23093944].	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs2734331	HCG27	6	31165915	X-11470	31171745	Unknown		False	51	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae)	Nucleus	enzyme	X-11470	X-11470 is a GGM neighbor of cortisol [23093944].	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs2734331	ATF6B	6	32083112	X-11470	32096030	Genetic Information Processing, Environmental Information Processing, Organismal Systems, Human Diseases		False	51	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae)	Nucleus	enzyme	X-11470	X-11470 is a GGM neighbor of cortisol [23093944].	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs2734331	PPP1R10	6	30568177	X-11470	30586389	Unknown		False	51	SKIV2L	superkiller viralicidic activity 2-like (S. cerevisiae)	Nucleus	enzyme	X-11470	X-11470 is a GGM neighbor of cortisol [23093944].	unknown	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs2740	PDXDC1	16	15068448	linoleate (18:2n6)/ dihomo-linolenate (20:3n3 or n6)	15233196	Unknown		False	114	PDXDC1	pyridoxal-dependent decarboxylase domain containing 1	unknown	other	linoleate (18:2n6)/ dihomo-linolenate (20:3n3 or n6)	Linoleate and dihomo-linolenate are unsaturated long chain fatty acids.  PDXDC1 probably encodes a pyridoxal phosphate-dependent decarboxylase. Ratio interpretation: n/a.	unknown	NA	Height [20189936]	1-eicosatrienoylglycerophosphocholine*/1-linoleoylglycerophosphocholine [21886157]; Phospholipid levels (plasma) [22359512]; CE 20:3 [23823483]	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs2740	RP11-72I	16	15188268	linoleate (18:2n6)/ dihomo-linolenate (20:3n3 or n6)	15203054	Unknown		False	114	PDXDC1	pyridoxal-dependent decarboxylase domain containing 1	unknown	other	linoleate (18:2n6)/ dihomo-linolenate (20:3n3 or n6)	Linoleate and dihomo-linolenate are unsaturated long chain fatty acids.  PDXDC1 probably encodes a pyridoxal phosphate-dependent decarboxylase. Ratio interpretation: n/a.	unknown	NA	Height [20189936]	1-eicosatrienoylglycerophosphocholine*/1-linoleoylglycerophosphocholine [21886157]; Phospholipid levels (plasma) [22359512]; CE 20:3 [23823483]	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs2740	RP11-680	16	15111963	linoleate (18:2n6)/ dihomo-linolenate (20:3n3 or n6)	15114345	Unknown		False	114	PDXDC1	pyridoxal-dependent decarboxylase domain containing 1	unknown	other	linoleate (18:2n6)/ dihomo-linolenate (20:3n3 or n6)	Linoleate and dihomo-linolenate are unsaturated long chain fatty acids.  PDXDC1 probably encodes a pyridoxal phosphate-dependent decarboxylase. Ratio interpretation: n/a.	unknown	NA	Height [20189936]	1-eicosatrienoylglycerophosphocholine*/1-linoleoylglycerophosphocholine [21886157]; Phospholipid levels (plasma) [22359512]; CE 20:3 [23823483]	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs2740	RRN3	16	15153879	linoleate (18:2n6)/ dihomo-linolenate (20:3n3 or n6)	15188174	Unknown		False	114	PDXDC1	pyridoxal-dependent decarboxylase domain containing 1	unknown	other	linoleate (18:2n6)/ dihomo-linolenate (20:3n3 or n6)	Linoleate and dihomo-linolenate are unsaturated long chain fatty acids.  PDXDC1 probably encodes a pyridoxal phosphate-dependent decarboxylase. Ratio interpretation: n/a.	unknown	NA	Height [20189936]	1-eicosatrienoylglycerophosphocholine*/1-linoleoylglycerophosphocholine [21886157]; Phospholipid levels (plasma) [22359512]; CE 20:3 [23823483]	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs2740	PKD1P6	16	15219099	linoleate (18:2n6)/ dihomo-linolenate (20:3n3 or n6)	15248421	Unknown		False	114	PDXDC1	pyridoxal-dependent decarboxylase domain containing 1	unknown	other	linoleate (18:2n6)/ dihomo-linolenate (20:3n3 or n6)	Linoleate and dihomo-linolenate are unsaturated long chain fatty acids.  PDXDC1 probably encodes a pyridoxal phosphate-dependent decarboxylase. Ratio interpretation: n/a.	unknown	NA	Height [20189936]	1-eicosatrienoylglycerophosphocholine*/1-linoleoylglycerophosphocholine [21886157]; Phospholipid levels (plasma) [22359512]; CE 20:3 [23823483]	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs2740	NTAN1	16	15131710	linoleate (18:2n6)/ dihomo-linolenate (20:3n3 or n6)	15149921	Unknown		False	114	PDXDC1	pyridoxal-dependent decarboxylase domain containing 1	unknown	other	linoleate (18:2n6)/ dihomo-linolenate (20:3n3 or n6)	Linoleate and dihomo-linolenate are unsaturated long chain fatty acids.  PDXDC1 probably encodes a pyridoxal phosphate-dependent decarboxylase. Ratio interpretation: n/a.	unknown	NA	Height [20189936]	1-eicosatrienoylglycerophosphocholine*/1-linoleoylglycerophosphocholine [21886157]; Phospholipid levels (plasma) [22359512]; CE 20:3 [23823483]	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs2740	DLGAP4	20	34894258	linoleate (18:2n6)/ dihomo-linolenate (20:3n3 or n6)	35157040	Unknown		False	114	PDXDC1	pyridoxal-dependent decarboxylase domain containing 1	unknown	other	linoleate (18:2n6)/ dihomo-linolenate (20:3n3 or n6)	Linoleate and dihomo-linolenate are unsaturated long chain fatty acids.  PDXDC1 probably encodes a pyridoxal phosphate-dependent decarboxylase. Ratio interpretation: n/a.	unknown	NA	Height [20189936]	1-eicosatrienoylglycerophosphocholine*/1-linoleoylglycerophosphocholine [21886157]; Phospholipid levels (plasma) [22359512]; CE 20:3 [23823483]	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs2851391	PKNOX1	21	44394620	betaine	44453691	Unknown		False	140	CBS	cystathionine-beta-synthase	Cytoplasm	enzyme	betaine	"CBS encodes cystathionine-beta-synthase which converts homocysteine to cystathione.  Alternatively, homocysteine can be converted to methionine in a reaction which uses betaine as a methyl donor [16545978].
"	CBS	CBS-FAT,CBS-LCL,CBS-Skin	Obesity-related traits [23251661]	NA	Classical homocystinuria due to cystathionine beta-synthase (CbS) deficiency	NA	NA	NA	NA	1	CBS FAT CBS LCL CBS Skin	True	CBS	False
rs2851391	CBS	21	44473301	betaine	44497053	Metabolism	Amino acid metabolism	True	140	CBS	cystathionine-beta-synthase	Cytoplasm	enzyme	betaine	"CBS encodes cystathionine-beta-synthase which converts homocysteine to cystathione.  Alternatively, homocysteine can be converted to methionine in a reaction which uses betaine as a methyl donor [16545978].
"	CBS	CBS-FAT,CBS-LCL,CBS-Skin	Obesity-related traits [23251661]	NA	Classical homocystinuria due to cystathionine beta-synthase (CbS) deficiency	NA	NA	NA	NA	1	CBS FAT CBS LCL CBS Skin	True	CBS	True
rs316020	LPAL2	6	160880088	X-12798/ phenylalanine	160932156	Unknown		False	56	SLC22A1|SLC22A2	solute carrier family 22 (organic cation transporter), member 1/solute carrier family 22 (organic cation transporter), member 2	Plasma Membrane	transporter	X-12798/ phenylalanine	SLC22A1 and SLC22A2 encode the Oct1 and Oct2 organic cation transporters.  These transporters are not known to specifically transport phenylalanine, but Oct1 has been shown to transport dopamine, a neurotransmitter which can be synthesized from phenylalanine [9260930]. Ratio interpretation: n/a.	SLC22A1	NA	NA	X-12798 [23093944]	NA	TP/TP	CHEMBL5685/CHEMBL1743122	Substrates of SLC22A1: Tetraethylammonium, N-methylpyridinium, metformin*, oxaliplatin; Inhibitors of SLC22A1: Quinine, quinidine, disopyramide; Substrates of SLC22A2: N-Methylpyridinium, tetraethylammonium, metformin*, pindolol, procainamide, ranitidine amantadine, amiloride, oxaliplatin, varenicline; Inhibitors of SLC22A2: Cimetidine*, pilsicainide, cetirizine*, testosterone, quinidine; (PMID: 20190787)	NA	NA	NA	False	SLC22A1	False
rs316020	GRM1	6	146348782	X-12798/ phenylalanine	146758734	Environmental Information Processing, Cellular Processes, Organismal Systems		False	56	SLC22A1|SLC22A2	solute carrier family 22 (organic cation transporter), member 1/solute carrier family 22 (organic cation transporter), member 2	Plasma Membrane	transporter	X-12798/ phenylalanine	SLC22A1 and SLC22A2 encode the Oct1 and Oct2 organic cation transporters.  These transporters are not known to specifically transport phenylalanine, but Oct1 has been shown to transport dopamine, a neurotransmitter which can be synthesized from phenylalanine [9260930]. Ratio interpretation: n/a.	SLC22A1	NA	NA	X-12798 [23093944]	NA	TP/TP	CHEMBL5685/CHEMBL1743122	Substrates of SLC22A1: Tetraethylammonium, N-methylpyridinium, metformin*, oxaliplatin; Inhibitors of SLC22A1: Quinine, quinidine, disopyramide; Substrates of SLC22A2: N-Methylpyridinium, tetraethylammonium, metformin*, pindolol, procainamide, ranitidine amantadine, amiloride, oxaliplatin, varenicline; Inhibitors of SLC22A2: Cimetidine*, pilsicainide, cetirizine*, testosterone, quinidine; (PMID: 20190787)	NA	NA	NA	False	SLC22A1	False
rs3184504	ALDH2	12	112204691	kynurenine	112247782	Metabolism	Amino acid metabolism	True	98	SH2B3	phenylalanine hydroxylase	Cytoplasm	enzyme	kynurenine	Kynurenine is derived from tryptophan metabolism	unknown	NA	Beta-2 microglubulin plasma levels [23417110]; Blood pressure [21909110]; Celiac disease [18311140,20190752]; Celiac disease and Rheumatoid arthritis [21383967]; Chronic kidney disease [20383146]; Coronary heart disease [21378990]; Diastolic blood pressure [19430483,19430479,21909115]; Eosinophil counts [19198610]; Hypothyroidism [22493691]; Platelet counts [22139419]; Red blood cell traits [23222517]; Retinal vascular caliber [21060863]; Rheumatoid arthritis [20453842]; Systolic blood pressure [19430479]; Type 1 diabetes [19430480]; Type 1 diabetes autoantibodies [21829393]; Urate levels [23263486]; Vitiligo [22561518]	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs3184504	FAM216A	12	110906181	kynurenine	110928190	Unknown		False	98	SH2B3	phenylalanine hydroxylase	Cytoplasm	enzyme	kynurenine	Kynurenine is derived from tryptophan metabolism	unknown	NA	Beta-2 microglubulin plasma levels [23417110]; Blood pressure [21909110]; Celiac disease [18311140,20190752]; Celiac disease and Rheumatoid arthritis [21383967]; Chronic kidney disease [20383146]; Coronary heart disease [21378990]; Diastolic blood pressure [19430483,19430479,21909115]; Eosinophil counts [19198610]; Hypothyroidism [22493691]; Platelet counts [22139419]; Red blood cell traits [23222517]; Retinal vascular caliber [21060863]; Rheumatoid arthritis [20453842]; Systolic blood pressure [19430479]; Type 1 diabetes [19430480]; Type 1 diabetes autoantibodies [21829393]; Urate levels [23263486]; Vitiligo [22561518]	NA	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs3738934	RPE	2	210867289	X-13431--nonanoylcarnitine*	210886146	Metabolism	Carbohydrate metabolism	True	21	ACADL	acyl-CoA dehydrogenase, long chain	Cytoplasm	enzyme	X-13431--nonanoylcarnitine*	ACADL encodes Long-chain acyl-CoA dehydrogenase which has activity against a variety of medium and long chain acyl-CoAs [10832093].  X-13431 has been identified as nonaylcarnitine (C9:0) [23093944].  Acyl-CoAs and acyl-carnitines are readily interconverted.	ACADL	NA	NA	C9/C10:2 [20037589]; X-13431 [23093944]	Long chain acyl-CoA dehydrogenase deficiency	NA	NA	NA	NA	NA	NA	False	ACADL	False
rs3738934	KANSL1L	2	210886301	X-13431--nonanoylcarnitine*	211036019	Unknown		False	21	ACADL	acyl-CoA dehydrogenase, long chain	Cytoplasm	enzyme	X-13431--nonanoylcarnitine*	ACADL encodes Long-chain acyl-CoA dehydrogenase which has activity against a variety of medium and long chain acyl-CoAs [10832093].  X-13431 has been identified as nonaylcarnitine (C9:0) [23093944].  Acyl-CoAs and acyl-carnitines are readily interconverted.	ACADL	NA	NA	C9/C10:2 [20037589]; X-13431 [23093944]	Long chain acyl-CoA dehydrogenase deficiency	NA	NA	NA	NA	NA	NA	False	ACADL	False
rs3738934	CERS6	2	169312372	X-13431--nonanoylcarnitine*	169631644	Metabolism, Environmental Information Processing	Lipid metabolism	True	21	ACADL	acyl-CoA dehydrogenase, long chain	Cytoplasm	enzyme	X-13431--nonanoylcarnitine*	ACADL encodes Long-chain acyl-CoA dehydrogenase which has activity against a variety of medium and long chain acyl-CoAs [10832093].  X-13431 has been identified as nonaylcarnitine (C9:0) [23093944].  Acyl-CoAs and acyl-carnitines are readily interconverted.	ACADL	NA	NA	C9/C10:2 [20037589]; X-13431 [23093944]	Long chain acyl-CoA dehydrogenase deficiency	NA	NA	NA	NA	NA	NA	False	ACADL	False
rs3800993	RP11-122	7	141811549	1,5-anhydroglucitol (1,5-AG)	141922124	Unknown		False	64	MGAM	maltase-glucoamylase (alpha-glucosidase)	Plasma Membrane	enzyme	1,5-anhydroglucitol (1,5-AG)	1,5-AG is a marker for glycemic control [21085649]	unknown	NA	NA	NA	NA	DT	CHEMBL2074	Acarbose, Miglitol	NA	NA	NA	False	unknown	False
rs4073054	TOMM40L	1	161195793	X-10395	161200134	Human Diseases		False	12	NR1I3	nuclear receptor subfamily 1, group I, member 3	Nucleus	ligand-dependent nuclear receptor	X-10395	X-10395 is an unknown metabolite	unknown	NA	NA	NA	NA	DT, ME, is a modulator	CHEMBL5503	Meclizine is a modulator; Estradiol, Clotrimazoll are active; Phenobarbital is an indirect activator; Phenytoin is an indirect activator and Chlorpromazine is an inverse agonist	NA	NA	NA	False	unknown	False
rs4144027	XRCC3	14	104163946	asparagine	104181841	Genetic Information Processing		False	105	ASPG	HEAT repeat containing 4	unknown	other	asparagine	ASPG encodes an asparaginase homolog which which can hydrolyse asparagine to form aspartic acid [9575212]	ASPG	KLC1-Skin,PPP1R13B-FAT,PPP1R13B-LCL,TRMT61A-LCL,XRCC3-LCL	NA	NA	NA	NA	NA	NA	NA	NA	KLC1 Skin PPP1R13B FAT PPP1R13B LCL TRMT61A LCL XRCC3 LCL	False	ASPG	False
rs4144027	TDRD9	14	104394799	asparagine	104519004	Unknown		False	105	ASPG	HEAT repeat containing 4	unknown	other	asparagine	ASPG encodes an asparaginase homolog which which can hydrolyse asparagine to form aspartic acid [9575212]	ASPG	KLC1-Skin,PPP1R13B-FAT,PPP1R13B-LCL,TRMT61A-LCL,XRCC3-LCL	NA	NA	NA	NA	NA	NA	NA	NA	KLC1 Skin PPP1R13B FAT PPP1R13B LCL TRMT61A LCL XRCC3 LCL	False	ASPG	False
rs4144027	LINC00637	14	104314058	asparagine	104324386	Unknown		False	105	ASPG	HEAT repeat containing 4	unknown	other	asparagine	ASPG encodes an asparaginase homolog which which can hydrolyse asparagine to form aspartic acid [9575212]	ASPG	KLC1-Skin,PPP1R13B-FAT,PPP1R13B-LCL,TRMT61A-LCL,XRCC3-LCL	NA	NA	NA	NA	NA	NA	NA	NA	KLC1 Skin PPP1R13B FAT PPP1R13B LCL TRMT61A LCL XRCC3 LCL	False	ASPG	False
rs4144027	PPP1R13B	14	104200089	asparagine	104313927	Unknown		False	105	ASPG	HEAT repeat containing 4	unknown	other	asparagine	ASPG encodes an asparaginase homolog which which can hydrolyse asparagine to form aspartic acid [9575212]	ASPG	KLC1-Skin,PPP1R13B-FAT,PPP1R13B-LCL,TRMT61A-LCL,XRCC3-LCL	NA	NA	NA	NA	NA	NA	NA	NA	KLC1 Skin PPP1R13B FAT PPP1R13B LCL TRMT61A LCL XRCC3 LCL	False	ASPG	False
rs4144027	CTD-2134	14	104320740	asparagine	104346448	Unknown		False	105	ASPG	HEAT repeat containing 4	unknown	other	asparagine	ASPG encodes an asparaginase homolog which which can hydrolyse asparagine to form aspartic acid [9575212]	ASPG	KLC1-Skin,PPP1R13B-FAT,PPP1R13B-LCL,TRMT61A-LCL,XRCC3-LCL	NA	NA	NA	NA	NA	NA	NA	NA	KLC1 Skin PPP1R13B FAT PPP1R13B LCL TRMT61A LCL XRCC3 LCL	False	ASPG	False
rs4144027	APOPT1	14	104029299	asparagine	104073860	Unknown		False	105	ASPG	HEAT repeat containing 4	unknown	other	asparagine	ASPG encodes an asparaginase homolog which which can hydrolyse asparagine to form aspartic acid [9575212]	ASPG	KLC1-Skin,PPP1R13B-FAT,PPP1R13B-LCL,TRMT61A-LCL,XRCC3-LCL	NA	NA	NA	NA	NA	NA	NA	NA	KLC1 Skin PPP1R13B FAT PPP1R13B LCL TRMT61A LCL XRCC3 LCL	False	ASPG	False
rs4144027	MARK3	14	103851729	asparagine	103970168	Unknown		False	105	ASPG	HEAT repeat containing 4	unknown	other	asparagine	ASPG encodes an asparaginase homolog which which can hydrolyse asparagine to form aspartic acid [9575212]	ASPG	KLC1-Skin,PPP1R13B-FAT,PPP1R13B-LCL,TRMT61A-LCL,XRCC3-LCL	NA	NA	NA	NA	NA	NA	NA	NA	KLC1 Skin PPP1R13B FAT PPP1R13B LCL TRMT61A LCL XRCC3 LCL	False	ASPG	False
rs4144027	KLC1	14	104028233	asparagine	104167888	Human Diseases		False	105	ASPG	HEAT repeat containing 4	unknown	other	asparagine	ASPG encodes an asparaginase homolog which which can hydrolyse asparagine to form aspartic acid [9575212]	ASPG	KLC1-Skin,PPP1R13B-FAT,PPP1R13B-LCL,TRMT61A-LCL,XRCC3-LCL	NA	NA	NA	NA	NA	NA	NA	NA	KLC1 Skin PPP1R13B FAT PPP1R13B LCL TRMT61A LCL XRCC3 LCL	False	ASPG	False
rs4144027	HSP90AA1	14	102547075	asparagine	102605839	Genetic Information Processing, Environmental Information Processing, Cellular Processes, Organismal Systems, Human Diseases		False	105	ASPG	HEAT repeat containing 4	unknown	other	asparagine	ASPG encodes an asparaginase homolog which which can hydrolyse asparagine to form aspartic acid [9575212]	ASPG	KLC1-Skin,PPP1R13B-FAT,PPP1R13B-LCL,TRMT61A-LCL,XRCC3-LCL	NA	NA	NA	NA	NA	NA	NA	NA	KLC1 Skin PPP1R13B FAT PPP1R13B LCL TRMT61A LCL XRCC3 LCL	False	ASPG	False
rs4150581	GTF2H1	11	18343842	3-(4-hydroxyphenyl)lactate/ alpha-hydroxyisovalerate	18388591	Genetic Information Processing, Human Diseases		False	87	HPS5	Hermansky-Pudlak syndrome 5	Cytoplasm	other	3-(4-hydroxyphenyl)lactate/ alpha-hydroxyisovalerate	Alpha-hydroxyisovalerate may be related to certain branched chain amino acid degradation metabolites. Ratio interpretation: n/a.	unknown	NA	NA	alpha-hydroxyisovalerate [21886157]	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs4150581	HPS5	11	18300223	3-(4-hydroxyphenyl)lactate/ alpha-hydroxyisovalerate	18343745	Unknown		False	87	HPS5	Hermansky-Pudlak syndrome 5	Cytoplasm	other	3-(4-hydroxyphenyl)lactate/ alpha-hydroxyisovalerate	Alpha-hydroxyisovalerate may be related to certain branched chain amino acid degradation metabolites. Ratio interpretation: n/a.	unknown	NA	NA	alpha-hydroxyisovalerate [21886157]	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs4150581	LDHA	11	18415935	3-(4-hydroxyphenyl)lactate/ alpha-hydroxyisovalerate	18429972	Metabolism, Environmental Information Processing, Organismal Systems, Human Diseases	Amino acid metabolism	True	87	HPS5	Hermansky-Pudlak syndrome 5	Cytoplasm	other	3-(4-hydroxyphenyl)lactate/ alpha-hydroxyisovalerate	Alpha-hydroxyisovalerate may be related to certain branched chain amino acid degradation metabolites. Ratio interpretation: n/a.	unknown	NA	NA	alpha-hydroxyisovalerate [21886157]	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs4150581	MRGPRX3	11	18142502	3-(4-hydroxyphenyl)lactate/ alpha-hydroxyisovalerate	18160027	Unknown		False	87	HPS5	Hermansky-Pudlak syndrome 5	Cytoplasm	other	3-(4-hydroxyphenyl)lactate/ alpha-hydroxyisovalerate	Alpha-hydroxyisovalerate may be related to certain branched chain amino acid degradation metabolites. Ratio interpretation: n/a.	unknown	NA	NA	alpha-hydroxyisovalerate [21886157]	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs4150581	TSG101	11	18489883	3-(4-hydroxyphenyl)lactate/ alpha-hydroxyisovalerate	18548779	Cellular Processes		False	87	HPS5	Hermansky-Pudlak syndrome 5	Cytoplasm	other	3-(4-hydroxyphenyl)lactate/ alpha-hydroxyisovalerate	Alpha-hydroxyisovalerate may be related to certain branched chain amino acid degradation metabolites. Ratio interpretation: n/a.	unknown	NA	NA	alpha-hydroxyisovalerate [21886157]	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs4150581	DOCK10	2	225629807	3-(4-hydroxyphenyl)lactate/ alpha-hydroxyisovalerate	225907162	Unknown		False	87	HPS5	Hermansky-Pudlak syndrome 5	Cytoplasm	other	3-(4-hydroxyphenyl)lactate/ alpha-hydroxyisovalerate	Alpha-hydroxyisovalerate may be related to certain branched chain amino acid degradation metabolites. Ratio interpretation: n/a.	unknown	NA	NA	alpha-hydroxyisovalerate [21886157]	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs4150581	COPB1	11	14464986	3-(4-hydroxyphenyl)lactate/ alpha-hydroxyisovalerate	14521573	Unknown		False	87	HPS5	Hermansky-Pudlak syndrome 5	Cytoplasm	other	3-(4-hydroxyphenyl)lactate/ alpha-hydroxyisovalerate	Alpha-hydroxyisovalerate may be related to certain branched chain amino acid degradation metabolites. Ratio interpretation: n/a.	unknown	NA	NA	alpha-hydroxyisovalerate [21886157]	NA	NA	NA	NA	NA	NA	NA	False	unknown	False
rs4253311	F11	4	187187099	bradykinin, des-arg(9)	187210835	Organismal Systems		False	39	KLKB1	kallikrein B, plasma (Fletcher factor) 1	Extracellular Space	peptidase	bradykinin, des-arg(9)	KLKB1 encodes kallikrein, a serine protease which releases bradykinin from kininogen [8662673]	KLKB1	CYP4V2-FAT,CYP4V2-LCL	Circulating vasoactive peptide levels [23381795]	bradykinin, des-arg(9) [21886157]; Metabolite levels [22916037]	NA	DT	CHEMBL2000	Ecallantine, Aprotinin	NA	NA	CYP4V2 FAT CYP4V2 LCL	False	KLKB1	False
rs4253311	FAM149A	4	187025573	bradykinin, des-arg(9)	187093821	Unknown		False	39	KLKB1	kallikrein B, plasma (Fletcher factor) 1	Extracellular Space	peptidase	bradykinin, des-arg(9)	KLKB1 encodes kallikrein, a serine protease which releases bradykinin from kininogen [8662673]	KLKB1	CYP4V2-FAT,CYP4V2-LCL	Circulating vasoactive peptide levels [23381795]	bradykinin, des-arg(9) [21886157]; Metabolite levels [22916037]	NA	DT	CHEMBL2000	Ecallantine, Aprotinin	NA	NA	CYP4V2 FAT CYP4V2 LCL	False	KLKB1	False
rs4253311	CYP4V2	4	187112674	bradykinin, des-arg(9)	187134610	Unknown		False	39	KLKB1	kallikrein B, plasma (Fletcher factor) 1	Extracellular Space	peptidase	bradykinin, des-arg(9)	KLKB1 encodes kallikrein, a serine protease which releases bradykinin from kininogen [8662673]	KLKB1	CYP4V2-FAT,CYP4V2-LCL	Circulating vasoactive peptide levels [23381795]	bradykinin, des-arg(9) [21886157]; Metabolite levels [22916037]	NA	DT	CHEMBL2000	Ecallantine, Aprotinin	NA	NA	CYP4V2 FAT CYP4V2 LCL	False	KLKB1	False
rs4253311	UFSP2	4	186320694	bradykinin, des-arg(9)	186347139	Unknown		False	39	KLKB1	kallikrein B, plasma (Fletcher factor) 1	Extracellular Space	peptidase	bradykinin, des-arg(9)	KLKB1 encodes kallikrein, a serine protease which releases bradykinin from kininogen [8662673]	KLKB1	CYP4V2-FAT,CYP4V2-LCL	Circulating vasoactive peptide levels [23381795]	bradykinin, des-arg(9) [21886157]; Metabolite levels [22916037]	NA	DT	CHEMBL2000	Ecallantine, Aprotinin	NA	NA	CYP4V2 FAT CYP4V2 LCL	False	KLKB1	False
rs4343	ACE	17	61554422	aspartylphenylalanine/ X-14450--phenylalanylleucine	61574981	Organismal Systems, Human Diseases		False	129	ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	Plasma Membrane	peptidase	aspartylphenylalanine/ X-14450--phenylalanylleucine	ACE encodes the angiotensin I converting enzyme (peptidyldipeptidase A) 1.  Aspartylphenylalanine is a dipeptide closely related to aspartame. Ratio interpretation: both molecules are dipeptides which may each be products or one may be normalizing the dipeptide pool for the other.  X-14450 is phenylalanylleucine (possible 'selectivity')	ACE	FTSJ3-FAT	Angiotensin-converting enzyme activity [20066004]	aspartylphenylalanine [21886157]; Metabolite levels [23281178]	NA	DT	CHEMBL1808	Benazepril, Captopril, Enalapril, Fosinopril, Lisinopril, Moexipril, Perindopril, Quinapril, Ramipril, Spirapril, Trandolapril	2	126	FTSJ3 FAT	False	ACE	True
rs4343	FTSJ3	17	61896793	aspartylphenylalanine/ X-14450--phenylalanylleucine	61907372	Unknown		False	129	ACE	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	Plasma Membrane	peptidase	aspartylphenylalanine/ X-14450--phenylalanylleucine	ACE encodes the angiotensin I converting enzyme (peptidyldipeptidase A) 1.  Aspartylphenylalanine is a dipeptide closely related to aspartame. Ratio interpretation: both molecules are dipeptides which may each be products or one may be normalizing the dipeptide pool for the other.  X-14450 is phenylalanylleucine (possible 'selectivity')	ACE	FTSJ3-FAT	Angiotensin-converting enzyme activity [20066004]	aspartylphenylalanine [21886157]; Metabolite levels [23281178]	NA	DT	CHEMBL1808	Benazepril, Captopril, Enalapril, Fosinopril, Lisinopril, Moexipril, Perindopril, Quinapril, Ramipril, Spirapril, Trandolapril	2	126	FTSJ3 FAT	False	ACE	False
