Gene	Protein class	Subcellular location	RNA tissue category	RNA TS	RNA TS TPM	RNA cell line category	RNA CS	RNA CS TPM
BASP1	Plasma proteins, Predicted intracellular proteins, Transporters	Plasma membrane	Tissue enhanced		cerebral cortex: 419.0;epididymis: 369.1	Cell line enhanced		HeLa: 555.7;SiHa: 845.8
MAMSTR	Predicted intracellular proteins	Nuclear speckles	Tissue enhanced		adrenal gland: 21.4;skeletal muscle: 31.4	Cell line enhanced		RH-30: 16.1
FUT2	Blood group antigen proteins, Enzymes, Predicted membrane proteins	Plasma membrane, Cytosol	Tissue enhanced		duodenum: 51.4	Cell line enriched	6	CAPAN-2: 68.6
FBXO39	Predicted intracellular proteins		Tissue enriched	62	testis: 53.5	Not detected		
ODF3B	Predicted intracellular proteins		Tissue enhanced		fallopian tube: 75.0	Cell line enhanced		Karpas-707: 29.6;U-266/70: 44.1
PLEC	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Intermediate filaments, Focal adhesion sites, Cytosol	Expressed in all			Expressed in all		
ZNF713	Disease related genes, Predicted intracellular proteins, Transcription factors	Nucleoli	Mixed			Cell line enhanced		SH-SY5Y: 7.3
PARP10	Enzymes, Predicted intracellular proteins	Nucleoli, Cytosol	Expressed in all			Mixed		
OPLAH	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Nucleoli fibrillar center	Tissue enhanced		testis: 58.2	Cell line enhanced		AN3-CA: 31.2;BEWO: 20.2;PC-3: 24.2
EXOSC4	Plasma proteins, Predicted intracellular proteins	Intermediate filaments, Cytosol	Expressed in all			Expressed in all		
FARSA	Enzymes, Predicted intracellular proteins	Cytosol	Expressed in all			Expressed in all		
CALR	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins		Expressed in all			Expressed in all		
HLA-DQB1	Predicted membrane proteins, Predicted secreted proteins	Golgi apparatus, Rods & Rings	Tissue enhanced		lymph node: 287.3	Cell line enriched	8	HDLM-2: 555.8
SHARPIN	Predicted intracellular proteins	Nucleus, Cytosol	Expressed in all			Expressed in all		
ZFPM1	Plasma proteins, Predicted intracellular proteins, Transcription factors	Nucleoplasm, Cytosol	Mixed			Cell line enhanced		K-562: 26.0
MAF1	Predicted intracellular proteins	Nucleus, Nucleoli, Vesicles	Expressed in all			Expressed in all		
MRGPRX3	G-protein coupled receptors, Predicted membrane proteins		Tissue enhanced		salivary gland: 1.3	Cell line enriched	7	HBEC3-KT: 10.4
PDXDC1	Predicted intracellular proteins	Golgi apparatus, Vesicles	Expressed in all			Expressed in all		
FAHD1	Enzymes, Predicted intracellular proteins	Nucleus, Mitochondria	Expressed in all			Expressed in all		
PAK2	Enzymes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins	Nucleus, Vesicles	Expressed in all			Expressed in all		
RNF182	Enzymes, Predicted intracellular proteins, Predicted membrane proteins	Nucleus, Golgi apparatus, Vesicles	Tissue enhanced		cerebral cortex: 14.6	Cell line enhanced		HeLa: 57.3;RPTEC TERT1: 51.0
ATG9B	Predicted membrane proteins		Tissue enhanced		esophagus: 9.2;placenta: 5.8;skin: 13.5	Cell line enhanced		BEWO: 12.5;CAPAN-2: 3.7
ACSM5	Enzymes, Predicted intracellular proteins		Tissue enriched	5	liver: 142.6	Group enriched	5	ASC diff: 3.6;ASC TERT1: 8.0;HSkMC: 10.0;U-87 MG: 8.4
ACOT1	Enzymes, Predicted intracellular proteins	Mitochondria	Mixed			Cell line enhanced		T-47d: 35.8
IMMP2L	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Mitochondria	Expressed in all			Expressed in all		
ZFP90	Predicted intracellular proteins, Transcription factors	Vesicles, Plasma membrane, Centrosome	Mixed			Mixed		
RPS27L	Predicted intracellular proteins, Predicted secreted proteins, Ribosomal proteins	Nucleoli, Endoplasmic reticulum, Cytosol	Expressed in all			Expressed in all		
GP1BA	CD markers, Disease related genes, Plasma proteins, Predicted membrane proteins		Tissue enhanced		lymph node: 17.3	Cell line enriched	23	HEL: 64.4
C6orf201	Predicted intracellular proteins		Tissue enriched	23	testis: 30.1	Not detected		
MYBL1	Plasma proteins, Predicted intracellular proteins, Transcription factors		Tissue enhanced		lymph node: 24.2;testis: 21.4	Cell line enhanced		BJ hTERT+ SV40 Large T+: 76.9;HBF TERT88: 109.4
C16orf52	Predicted membrane proteins		Mixed			Expressed in all		
ANKFY1	Plasma proteins, Predicted intracellular proteins	Endosomes	Expressed in all			Expressed in all		
KCNQ5	Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels	Vesicles	Tissue enhanced		cerebral cortex: 22.3	Cell line enhanced		BJ: 29.6
DNAH14	Predicted intracellular proteins, Predicted secreted proteins	Centrosome	Tissue enhanced		testis: 21.9	Mixed		
MYT1L	Disease related genes, Predicted intracellular proteins, Transcription factors	Vesicles	Tissue enriched	11	cerebral cortex: 60.0	Group enriched	12	SCLC-21H: 7.8;SH-SY5Y: 5.2
CYP4A11	Enzymes, Predicted membrane proteins		Group enriched	183	kidney: 232.3;liver: 448.3	Not detected		
HEATR4	Predicted intracellular proteins		Group enriched	7	skin: 4.4;testis: 21.6	Cell line enhanced		SCLC-21H: 2.9
BCAM	Blood group antigen proteins, CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Nucleoli fibrillar center	Expressed in all			Cell line enhanced		HaCaT: 278.4;SK-BR-3: 217.2;T-47d: 152.4
MAGI2	Predicted intracellular proteins		Tissue enhanced		cerebral cortex: 46.2;parathyroid gland: 38.6	Group enriched	5	AF22: 19.3;Karpas-707: 58.7
NRN1L	Predicted intracellular proteins, Predicted secreted proteins		Mixed			Cell line enriched	5	BEWO: 31.0
IDO2	Predicted intracellular proteins		Group enriched	8	liver: 2.7;placenta: 5.9	Not detected		
PARVB	Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Cytosol	Expressed in all			Mixed		
MSANTD1	Predicted intracellular proteins		Group enriched	7	cerebral cortex: 1.9;testis: 2.4	Not detected		
FAM53B	Predicted intracellular proteins	Cytosol	Mixed			Expressed in all		
BLOC1S2	Predicted intracellular proteins		Expressed in all			Expressed in all		
AKR1C3	Enzymes, Plasma proteins, Predicted intracellular proteins	Nucleus, Nucleoli fibrillar center, Endoplasmic reticulum, Cytosol	Expressed in all			Cell line enhanced		A549: 1217.9;AN3-CA: 359.6;ASC diff: 507.5;Hep G2: 391.2;RT4: 424.5
RYR1	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Golgi apparatus, Vesicles, Cytosol	Tissue enriched	31	skeletal muscle: 572.4	Cell line enhanced		HaCaT: 16.8;RH-30: 14.8;SiHa: 32.7;U-2 OS: 13.2
SUPT3H	Predicted intracellular proteins	Nucleoplasm	Mixed			Mixed		
INCA1	Predicted intracellular proteins	Nucleoplasm, Nuclear bodies	Tissue enhanced		testis: 54.0	Mixed		
ZKSCAN5	Predicted intracellular proteins, Transcription factors	Intermediate filaments	Mixed			Expressed in all		
ANXA4	Cancer-related genes, Predicted intracellular proteins	Cytosol	Expressed in all			Cell line enhanced		EFO-21: 386.6;RPTEC TERT1: 457.3
SLC22A4	Disease related genes, Predicted membrane proteins	Mitochondria	Tissue enhanced		fallopian tube: 18.4	Cell line enhanced		BJ hTERT+: 48.5;U-138 MG: 24.5
SLC22A5	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Mitochondria	Mixed			Cell line enhanced		SiHa: 40.6
MYO5A	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins	Focal adhesion sites, Microtubule organizing center	Expressed in all			Cell line enhanced		Karpas-707: 145.4
SIPA1L1	Predicted intracellular proteins	Plasma membrane, Actin filaments	Expressed in all			Mixed		
RPE	Enzymes, Predicted intracellular proteins		Expressed in all			Expressed in all		
S100A10	Predicted membrane proteins, Transporters	Mitochondria	Expressed in all			Mixed		
EME2	Predicted intracellular proteins		Mixed			Cell line enhanced		HEK 293: 8.1;SCLC-21H: 4.3
GPAA1	Predicted intracellular proteins, Predicted membrane proteins		Expressed in all			Expressed in all		
MAN1A2	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Golgi apparatus	Expressed in all			Expressed in all		
ECI2	Enzymes, Predicted intracellular proteins	Peroxisomes	Expressed in all			Expressed in all		
NOTCH4	Predicted membrane proteins		Tissue enhanced		lung: 12.1	Not detected		
PRRT1	Predicted intracellular proteins, Predicted membrane proteins		Tissue enriched	8	cerebral cortex: 4.5	Cell line enhanced		SK-MEL-30: 1.1
STK19	Cancer-related genes, Enzymes, Predicted intracellular proteins	Nuclear speckles	Mixed			Cell line enhanced		HDLM-2: 1.9;REH: 1.7
DXO	Predicted intracellular proteins	Nucleoplasm, Plasma membrane, Cytosol	Mixed			Cell line enhanced		AN3-CA: 10.2
SKIV2L	Disease related genes, Plasma proteins, Predicted intracellular proteins	Nucleoplasm	Mixed			Mixed		
NELFE	Predicted intracellular proteins	Nucleoplasm, Nuclear bodies	Expressed in all			Expressed in all		
NEU1	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Vesicles, Cell Junctions	Mixed			Expressed in all		
VWA7	Predicted secreted proteins	Plasma membrane, Cytosol	Tissue enhanced		fallopian tube: 9.1	Cell line enhanced		U-266/70: 1.0
LY6G5C	Predicted intracellular proteins, Predicted membrane proteins	Nucleoplasm, Cytosol	Tissue enhanced		cerebral cortex: 1.5	Not detected		
BAG6	Predicted intracellular proteins	Nucleoplasm, Cytosol	Expressed in all			Expressed in all		
PRRC2A	Plasma proteins, Predicted intracellular proteins	Nucleoplasm, Plasma membrane, Cytosol	Mixed			Cell line enhanced		HBEC3-KT: 58.8;HEK 293: 135.9;U-266/70: 57.4;U-266/84: 59.9;U-698: 54.2
MICB	Disease related genes, Predicted membrane proteins	Golgi apparatus, Vesicles	Tissue enhanced		lymph node: 3.2	Cell line enhanced		U-266/84: 26.2
PPP1R10	Predicted intracellular proteins	Nucleoplasm, Nuclear bodies	Mixed			Expressed in all		
FAM216A	Predicted intracellular proteins	Actin filaments	Group enriched	7	cerebral cortex: 16.2;testis: 61.1	Mixed		
CPT1B	Enzymes, Predicted membrane proteins		Expressed in all			Mixed		
LIN52	Predicted intracellular proteins	Nuclear speckles	Mixed			Expressed in all		
C17orf107	Predicted intracellular proteins	Nucleus	Mixed			Cell line enhanced		fHDF/TERT166: 2.2;HMC-1: 3.2;hTCEpi: 2.4
MXD3	Predicted intracellular proteins, Transcription factors	Nucleus, Nucleoli	Tissue enhanced		bone marrow: 24.2	Cell line enhanced		HDLM-2: 162.8
ATF6B	Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transcription factors	Nucleus, Nucleoli	Expressed in all			Expressed in all		
DDAH2	Enzymes, Plasma proteins, Predicted intracellular proteins	Microtubule organizing center, Cytosol	Mixed			Cell line enhanced		EFO-21: 23.0;U-2 OS: 18.9
NUDT19	Predicted secreted proteins	Nucleus, Nucleoli, Cytosol	Expressed in all			Mixed		
PPME1	Enzymes, Predicted intracellular proteins	Nucleus, Nuclear bodies	Expressed in all			Expressed in all		
GRID2IP	Predicted intracellular proteins		Mixed			Cell line enhanced		REH: 3.3
GCGR	FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Golgi apparatus	Group enriched	7	adrenal gland: 6.6;kidney: 8.4;liver: 20.8;parathyroid gland: 8.0	Cell line enhanced		HeLa: 1.2;MCF7: 2.2;SK-BR-3: 1.8;U-87 MG: 2.7
FADS3	Predicted intracellular proteins, Predicted membrane proteins	Nucleoli fibrillar center	Expressed in all			Expressed in all		
HLA-DQB2	Predicted membrane proteins, Predicted secreted proteins		Tissue enhanced		lung: 8.1;skin: 13.3	Not detected		
LY6G5B	Predicted intracellular proteins, Predicted secreted proteins		Expressed in all			Expressed in all		
ATP5J2	Predicted intracellular proteins, Predicted membrane proteins	Mitochondria	Expressed in all			Expressed in all		
UGT1A1	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins		Group enriched	33	duodenum: 199.5;liver: 155.8;small intestine: 81.9	Cell line enhanced		HaCaT: 12.7;PC-3: 6.0;RT4: 27.4
ARPC1A	Plasma proteins, Predicted intracellular proteins	Cell Junctions, Cytosol	Expressed in all			Expressed in all		
UGT1A7	Enzymes, Predicted intracellular proteins, Predicted membrane proteins		Tissue enriched	13	esophagus: 61.4	Cell line enriched	21	SiHa: 118.8
GS1-259H13.2	Predicted membrane proteins		Tissue enriched	54	testis: 234.7	Cell line enhanced		Karpas-707: 8.5
LY6G6E	Predicted intracellular proteins, Predicted secreted proteins	Nucleus	Tissue enhanced		skin: 1.2;thyroid gland: 1.0	Cell line enriched	103	HEL: 21.3
APOPT1	Predicted intracellular proteins		Expressed in all			Expressed in all		
MGAM	Enzymes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins		Tissue enhanced		duodenum: 59.4;small intestine: 97.2	Cell line enhanced		A549: 1.6;BJ hTERT+: 1.3;HL-60: 2.2;U-937: 3.4
CNPY2	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Cytosol	Expressed in all			Expressed in all		
EPPK1	Predicted intracellular proteins	Intermediate filaments	Tissue enhanced		skin: 11.2	Cell line enhanced		BEWO: 13.8;EFO-21: 12.5;HaCaT: 12.0;HeLa: 15.1;MCF7: 15.3
RP11-81A22.5	Predicted intracellular proteins		Mixed			Cell line enhanced		AN3-CA: 3.1;SCLC-21H: 12.1
STRADA	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Nucleoplasm, Cytosol	Expressed in all			Expressed in all		
NUDT3	Enzymes, Predicted intracellular proteins	Cytosol	Expressed in all			Expressed in all		
SCO2	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Mitochondria	Tissue enhanced		bone marrow: 5.3	Mixed		
